"Team","MatchesPlayed","Goalsfor","Goalsscored","GoalsAgainst","Penaltygoal","OwngoalsFor","OpenPlayGoals","SetPieceGoals","RANK"
"Germany",7,18,18,4,1,0,15,3,1
"Netherlands",7,15,15,4,2,0,13,2,2
"Colombia",5,12,12,4,2,0,9,3,3
"Brazil",7,11,11,14,1,0,8,3,4
"France",5,10,8,3,1,2,8,2,5
"Argentina",7,8,7,4,0,1,7,1,6
"Algeria",4,7,7,7,1,0,4,3,7
"Switzerland",4,7,7,7,0,0,5,2,8
"Croatia",3,6,5,6,0,1,5,1,9
"Chile",4,6,6,4,0,0,6,0,10
"Belgium",5,6,6,3,0,0,6,0,11
"Mexico",4,5,5,3,0,0,4,1,12
"USA",4,5,5,6,0,0,4,1,13
"Costa Rica",5,5,5,2,0,0,4,1,14
"Bosnia and Herzegovina",3,4,4,4,0,0,4,0,15
"Côte dIvoire",3,4,4,5,0,0,4,0,16
"Ghana",3,4,4,6,0,0,4,0,17
"Spain",3,4,4,7,1,0,3,1,18
"Portugal",3,4,3,7,0,1,4,0,19
"Uruguay",4,4,4,6,1,0,2,2,20
"Ecuador",3,3,3,3,0,0,1,2,21
"Korea Republic",3,3,3,6,0,0,3,0,22
"Australia",3,3,3,9,1,0,2,1,23
"Greece",4,3,3,5,1,0,2,1,24
"Nigeria",4,3,3,5,0,0,3,0,25
"Italy",3,2,2,3,0,0,2,0,26
"Russia",3,2,2,3,0,0,2,0,27
"England",3,2,2,4,0,0,2,0,28
"Japan",3,2,2,6,0,0,2,0,29
"Iran",3,1,1,4,0,0,1,0,30
"Honduras",3,1,1,8,0,0,1,0,31
"Cameroon",3,1,1,9,0,0,1,0,32
